company,position,skill
넥서스커뮤니티,Web 개발자 채용,"TypeScript, Java, Git, Confluence, Spring, Framework, React, Confluent, Jira"
크레버스,백엔드 엔지니어 채용,"JavaScript, Go, Python, AZURE, Azure, DevOps, Nodejs, TypeScript, NestJS, FastAPI, PostgreSQL"
스쿨버스,백엔드 및 서버 개발자 채용,"java, Nodejs, JavaScript, REST, API, AWS, MariaDB, Flutter, Dart, Java"
다우기술,Web/WTS 채널 개발,"Java, Spring, Framework, jQuery, Vuejs"
라이터스컴퍼니(쿠키),[Kooky] 백엔드 개발자 (7~10),"Spring, Boot, Java, Gradle, MySQL, AWS, Kotlin"
다우기술,공통 SW 아키텍처 개발,"C, Java, Spring, Framework, JavaScript, Oracle, jQuery, MySQL, Linux"
다우기술,이커머스 물류서비스 개발,"Spring, Framework, Vuejs, Oracle, Java, Boot, Redis, MySQL"
다우기술,HTS 채널 개발,"JavaScript, Mfc"
오래,[제로아이즈]개발팀 Lead_경력13~15년,"Vuejs, TypeScript, Nodejs, ExpressJS, MySQL, AWS, Docker, GitHub, Slack, notionso"
업스테이지,Software Engineer - Backend,"SW, Backendless, Python, Golang"
다우기술,원장 개발,"C, C++, Oracle, Jira"
다우기술,투자정보서버 개발,"Linux, C, Redis, Oracle, MySQL"
다우기술,법인매매 시스템 개발,"C, C++"
이노룰스,[신제품개발] 금융 관련 솔루션 개발자,"Java, Spring, Boot, JavaScript, Nodejs, TypeScript, React, MySQL, PostgreSQL"
업스테이지,Infra Technical Architect,"Linux, AI, AWS, AZURE, Kubernetes, Docker"
