company_name,position,skill
주식회사 왈라,[패션 스타트업 WALA] 개발팀 리드(팀장급),"AWS, backend, Google Cloud Platform, Java, MySQL, mysql-query, JPA, Spring Boot, Python"
주식회사 메가인포아이티,Backend 개발자(3년이상),"AWS, GitHub, Java, JavaScript, Jenkins, Docker, JPA, Spring Boot, PostgreSQL, gradle"
링크루트,[경력] 백엔드 엔지니어,"Python, Django, django-celery, Redis, Docker, Kubernetes, PostgreSQL, Java, spring-framework"
브이아이펫,[재택근무 주1회]펫VIP(브이아이펫)React Native 개발 가능한 풀스텍개발자 모집,"React Native, Java, JavaScript"
에듀클라우드,[에듀클라우드] 풀스택 개발자 경력직(5년 이상) 채용,"React Native, Flutter, expo, Figma, AWS, Docker"
(주)블록체인글로벌,시니어 백엔드 개발자(과장급/7년 이상),"Java, Spring, MySQL, Kotlin, backend, Kubernetes"
(주)필라넷,.NET 웹개발자 채용,"ASP.NET Core, ASP, MSSQL, .NET, jQuery, JavaScript, SharePoint"
주식회사 네일톡톡,"백엔드 개발자 모집 (Java/Kotlin, Spring)","Kotlin, Java, spring-framework"
빌드코퍼레이션,[개발] Backend Developer,"AWS, GitHub, Node.js, Next.js"
플레어랩스,CRM 마케팅 솔루션 백엔드(NestJS) 개발자,"Node.js, NestJS, AWS"
빅테크플러스,[빅테크플러스] 풀스택 개발자 채용,"Java, Kotlin, TypeScript, JavaScript, React, CI/CD, DBMS/RDBMS, spring-jpa, ORM, 애자일"
주식회사 서큘러스,SW개발자 채용,"React, tailwind-css, Node.js, MongoDB, Python, GitHub, JavaScript"
아하앤컴퍼니(주),[아하] 인프라 엔지니어,"Terraform, Kubernetes, argocd, aws-eks, aws-ecs"
피나클 FINAKLE,Backend Developer (Leader / Senior),"Python, FastAPI, Docker, Kubernetes, AWS, ec2, MySQL, Node.js, nginx, Redis"
피나클 FINAKLE,Backend Developer,"Python, AWS, Docker, ec2, Redis, FastAPI, MySQL, Node.js, nginx, Kubernetes"
