company,position,skill
페블스퀘어,AI Model Compiler Engineer,"We, are, seeking, an, experienced, AI, Model, Compiler, Engineer, to, develop, and, optimize, model, compilation, pipelines, for, deep, learning, frameworks, You, will, work, on, converting, models, eg, ONNX, TensorFlow, PyTorch, into, efficient, hardwareoptimized, code, edge, cloudbased, processors, Your, role, involve, compiler, optimizations, graph, transformations, hardwarespecific, acceleration, techniques, Compilation, Pipeline, Design, implement, compilers, that, translate, etc, executable, formats, accelerators, devices, Graph, Optimization, Apply, operator, fusion, pruning, quantization, memory, improve, performance, Hardware, Acceleration, Optimize, execution, CPU, GPU, DSP, TPU, or, custom, chips, NPU, FPGA, Intermediate, Representations, IRs, Work, with, MLIR, TVM, XLA, Glow, transformation, Performance, Tuning, Profile, analyze, using, LLVM, Halide, CUDA, OpenCL, Metal, Kernel, Develop, lowlevel, math, libraries, SIMD, vectorized, ops, matrix, multiplications, tensor, inference, Custom, Operator, Support, Implement, new, operators, target, hardware, CrossPlatform, Deployment, Enable, portability, across, multiple, architectures, backends, AIML, Framework, Integration, Extend, functionality, Runtime, other, ML, Debugging, Benchmarking, Education, Bachelors, Masters, PhD, in, Computer, Science, Electrical, Engineering, related, fields, Experience, +, years, Programming, Languages, C, C++, Python, IR, Development, Transformations, Knowledge, of, loop, unrolling, constant, folding, tiling, ROCm, operations, Frameworks, Handson, TensorRT, TFLite, OpenVINO, Parallel, Computing, multithreading, vectorization, SSEAVX, heterogeneous, computing, Neural, Network, Compression, Quantizationaware, training, QAT, weight, distillation, Cloud, Edge, Deploying, AWS, Inferentia, NVIDIA, Jetson, Intel, Movidius, Qualcomm, Formal, Methods, Verification, validation, correctness, proofs, fuzz, testing, robustness"
디스코,풀스택 개발자,"jQuery, React, DjangoPython, MySQL, Android, iOS, Geometry, 3Third, Party, Redis, Lambda, SQS, CDN, AWS"
벙커키즈,Tech - Backend Engineer,"AI, Backend, API, LLMGemini, GPT, Web, App, PythonDjango, Git, Docker, LLM, Gemini, Pandas, NumPy, Prompt"
페블스퀘어,Embedded Software Engineer,"We, are, looking, for, a, highly, skilled, Embedded, Software, Engineer, to, develop, and, optimize, firmware, embedded, software, our, products, You, will, work, closely, with, hardware, engineers, developers, system, architects, build, efficient, realtime, reliable, systems, Firmware, Development, Write, test, debug, CC++, code, microcontrollers, processors, RealTime, Systems, Design, implement, operating, RTOS, lowlatency, Hardware, Integration, Work, interface, sensors, actuators, communication, peripherals, Protocols, Communication, Develop, UART, SPI, I2C, CAN, USB, Ethernet, Bluetooth, or, WiFi, stacks, Optimization, Improve, memory, footprint, power, consumption, processing, efficiency, in, Testing, Debugging, Utilize, oscilloscopes, logic, analyzers, JTAGSWD, debuggers, simulators, diagnose, resolve, issues, Documentation, Compliance, Maintain, technical, documentation, follow, industry, standards, ISO, MISRAC, etc, ensure, compliance, CrossFunctional, Collaboration, AI, cloud, teams, performance, Education, Bachelors, Masters, degree, Electrical, Engineering, Computer, Science, related, field, Experience, +, years, of, experience, softwarefirmware, development, EntryLevel, Internship, academic, projects, Programming, Languages, C, C++, Python, scripting, testing, Microcontrollers, Processors, ARM, CortexM, RISCV, PIC, AVR, ESP3, STM3, BareMetal, Proficiency, FreeRTOS, Zephyr, Linux, Peripherals, Interfaces, GPIO, ADCDAC, PWM, Tools, Familiarity, JTAG, SWD, GDB, Logic, Analyzers, Oscilloscopes, Version, Control, Git, GitHub, GitLab, Agile, Understanding, Scrum, CICD, workflows, Machine, Learning, on, Edge, Devices, TensorFlow, Lite, Security, Secure, Boot, Encryption, AES, RSA, Update, Kernel, device, drivers, YoctoBuildroot, Wireless, BLE, Zigbee, LoRa, LTE, Cloud, IoT, MQTT, AWS, Google, Core, Azure"
페블스퀘어,Software Engineer,"We, are, looking, for, a, versatile, Software, Engineer, with, experience, in, GUI, development, and, hardware, control, This, role, involves, designing, userfriendly, applications, as, well, writing, lowlevel, drivers, to, interface, You, will, work, on, projects, that, require, crossplatform, application, efficient, system, integration, realtime, interaction, Development, Build, intuitive, desktop, PySide6, Electron, Qt, or, webbased, dashboards, Embedded, Driver, Develop, firmware, communication, interfaces, via, USB, SPI, I2C, UART, PCIe, Ethernet, etc, CrossPlatform, Create, software, runs, Windows, Linux, embedded, systems, Optimized, System, lowlatency, Networking, IPC, Implement, protocols, clientserver, message, queues, WebSockets, RPC, frameworks, Performance, Optimization, Write, highperformance, memoryefficient, code, Education, Bachelors, Masters, Computer, Science, Electrical, Engineering, related, fields, Programming, Languages, Python, JavaScript, Nodejs, C++, at, least, of, them, Frameworks, Experience, Electronjs, Tkinter, Dear, ImGui, GTK, LowLevel, Kernel, modules, Drivers, OS, RTOS, Concurrency, Proficiency, multithreading, async, programming, optimization, Protocols, TCPIP, MQTT, REST, APIs, gRPC, ZeroMQ, Version, Control, CICD, Git, Docker, Jenkins, GitHub, Actions"
먼치팩토리,[hourplace] React Native 모바일앱 개발자,"React, Native, iOSAndroid, UIUX, UI, Git, CICD, JavaScript, Lazy, Loading, Jest, Detox, TypeScript, Crashlytics, Sentry"
먼치팩토리,[hourplace] React 프론트엔드 개발자,"UIUX, React, API, Lazy, Loading, Git, CICD, JavaScript, HTMLCSS, UI, Jira, Slack, SEO, TypeScript"
먼치팩토리,[hourplace] Back-end 개발자,"API, AI, CX, Spring, Framework, Java, AWS, GCP, Azure, CICD, Git, Github"
먼치팩토리,[hourplace] QA,"QA, DevOps, SDLC"
먼치팩토리,[hourplace] 웹 퍼블리셔,"React, HTML, CSS"
펫프렌즈,프론트엔드 엔지니어,"APPWEB, UIUX, ReactJS, JavaScriptes6, CSS3, HTML5, Git, GitHub, VueJS, NextJS"
비잉테크,스마트팩토리 MES 개발 (6년이상),"MES, Addon, C#, WinFrom, MSSQL, Procedure, PDA, JAVA, IF, ERP"
메딜리티,Frontend Engineer (React & Flutter),"Flutter, React, on, Nextjs, Docker, Github, Actions, AWS, EC2, ECR, Slack, Notion, Google, Workspace, JIRA, Confluence, PillEye, Webview, PouchEye"
에이든랩,웹 프론트엔드 개발자,"Incode8, AI, HTML, CSS, JavaScript, HTTP, React, TypeScript, Nextjs, Git, Zustand, TanStack, Query, Docker, Webpack, Vite, CICD, UI, SSR, UXUI, AWS, v1+, Recoil, Redux, Tailwind, styledcomponentsAPI, RESTful, API, GitHubGitLab, JIRA, Jest, Testing, Library"
슈퍼센트,프론트엔드 개발자 (3년 이상),"Break, Things, Move, Fast, Grow, Together, UIUX, React, Redux, Javascript, GCP, AI, ChatGPT, Docker, Typescript, D3js, Recharts"
에이비일팔공(AB180),iOS SDK Engineer (병역특례 가능),"iOS, SDK, Swift, REST, API, Flutter, React, Native, Unity, Unreal"
위메이드(WEMADE),[Legend of YMIR] DBA,"MSSQL, SP, SSDT, Git, MySQL, MMORPG"
카카오페이(kakaopay),[데이터분석팀] 데이터 분석가,"Ahamoment, SQLRPython, AB, LTV, AARRR, Cohort, Funnel"
위메이드(WEMADE),[Legend of YMIR] 클라이언트 프로그래머,"UI, Thrid, party, Unreal, C++, MMORPG"
넵튠(Neptune),플랫폼개발팀 백엔드개발자,"KLAT, Golang, cockroachdb, mysql, redis, dynamodb, nodejs, golang, API, Database, linux, Docker, AWS, GCP, terraform"
힐링페이퍼(강남언니),웹 프론트엔드 개발자,"Product, Owner, TypeScript2, ReactNextjs, MonorepoTurborepo, Nodejs3, ReactQuery4, Tailwind, Styledcomponents5, PNPM6, AWS, Kubernetes, NextjsReact, CSS, styledcomponents, CICD"
옴니어스(OMNIOUS),백엔드 엔지니어,"API, LLM, Agent, AI, FastAPI, RESTful, MySQL, Elasticsearch, AWS, Docker, KubernetesK8s, Terraform, Language, Framework, Python3Fastapi, Infra, Kubernetes, EKS, Database, DynamoDB, Bedrock, OpenAI, SDK, PyTorch, Triton, Server, Python, GCP, Azure"
온어스링크잇,백엔드개발자 (2년이상),"Spring, Boot, Kafka, Redis, AWS, API, Java, MySQL, Docker, OAuth2, JWT, 7x, WebFlux, Security, Data, R2DBC, MSAMicroservice, Architecture, EC2, S3, RDS, ECSEKS, Lambda, IaCInfrastructure, as, Code, ISMS, DDDDomainDriven, Design"
엘박스,Data Engineer,"Databricks, Spark, SQL, PySpark, MLAI, AB, Elasticsearch, MongoDB, MySQL, Flink, AWS"
웨이스,개발자,"Cursor, AI, Claude, GitHub, ESG, B2B, SaaS"
칩스앤미디어,RTL 설계 엔지니어 (5년 이상),"Spec, definition, MacroMicro, RTL, Simulation, and, Synthesis, Scripting, tool, Software, development, team, ASICSOCFPGA, Verilog, HDL, CC+, AMBA, AXI, memory, sub, system, simulation, debugging, synthesis, lintCDC, EDA, PythonPerl, SystemVerilog, test, bench"
불마켓랩스,Front-End Engineer,"Dev, API, nextjs, flutter, typescript, javascript, reactjs, Github, action, Clean, Architecture, Hexagonal, architecture"
불마켓랩스,QA Engineer,"QA, AgileScrum, JIRA, Confluence, Python, Java"
한솔피엔에스,MES 솔루션 개발 R&D(리더/PL),"MES, FW, Spring, Boot, Java, WebVuejs, Web, CS, UIUX, DB, EAI, IT, ERPSCM, PLCFA, IF, EIS, Adapter, MSSQL, ERPSCMFA, Interface, ERPSCMMES"
불마켓랩스,Back-End Engineer,"Dev, API, Java, Spring, Boot, Go, MySQL, RocketMQ, Github, action, ArgoCD, Kubernetes, Kotlin, Rust, Kafka, DynamoDB, RDBMS, Queue, Cache, Restful, Clean, Architecture, Hexagonal, architecture, MSA, Micro, Service, Docker, AWS, GCP, SaaS"
칩스앤미디어,[반도체IP] FW 엔지니어,"HW, HWRTL, design, team, C, C++, Embedded, H2, HEVC, VP9, AV1, VVC"
하나금융티아이,[하나금융TI] 유가증권 개발/운영 (3년차 이상),"Java, KSBuilder, ProObject, Oracle"
칩스앤미디어,[대구] RTL 설계 엔지니어,"Video, Spec, definition, MacroMicro, RTL, Simulation, and, Synthesis, Scripting, tool, Verilog, HW, HDL, CC++, simulation, Debugging, lintCDC, EDA, Pythonlinux, script"
브레인커머스,[잡플래닛] Software Architect,"Software, Architect, OKR, AWS, Aurora, MySQL, DB, MariaDB, PostgreSQL, NoSQL, Architecture, MSA, SRE, DevOps, Docker, Kubernetes, IaCInfrastructure, as, Code, tuning"
퓨쳐스콜레,[라이브클래스] Front-end Engineer,"LiveKlass, Vue, React, UX, SPA, SSR, SSG, Jira, Slack, Figma, Notion, Github, PM, Nuxtjs, Nextjs, SSRSSG, JavaScript, TypeScript, UIUX, Storybook, Design, System, Flutter, AWS"
퓨쳐스콜레,[라이브클래스] Back-end Engineer,"LiveKlass, AWS, DevOps, SRE, Jira, Slack, Notion, Github, Backend, Java, Spring, Framework, Boot, MVC, Data, JPA, Security, MariaDB, MariaDBMySQL, ORMJPA, Hibernate, Native, Query, Docker, EC2, S3, RDSMariaDB, Lambda, SQS, SNS, Compose, ECS, EKS, K8S, CICD, GitHub, Actions, Jenkins, RESTful, API, Git, JUnit, Mockito, MSA, EDA, Top, Slow, Redis, Kafka, RabbitMQ, Kubernetes, Vulnerability, OWASP, TDDTestDriven, Development"
뤼이드(Riiid),MLOps Engineer (2년 이상),"LLM, TTS, MLOps, Engineer, AIR, Math, Backend, Application, Airflow, Databricks, Feature, Store, ML, GPU, AIML, Pytorch, Tensorflow, Git, Kubernetes, CICD, PM, AI, DevOps"
프리윌린,[개발팀] Tech Innovation 워킹그룹 백엔드 개발자 (8년 이상),"QA, AI, Java, Spring, Kotlin, Golang, Python, Nodejs, RDBNoSQL, ORM, AWS, Cloud, Kubernetes, GPT, LLM"
프리윌린,[개발팀] Tech Innovation 워킹그룹 풀스택 개발자 (8년 이상),"QA, AI, React, TypeScript, SPAReact, Vuejs, Angular, KotlinJava, with, Spring, Python, Nodejs, Golang, RDBNoSQL, ORM, AWS, Cloud, Kubernetes, GPT, LLM, ReactAdmin, MUI, Windows"
프리윌린,[개발팀] 매쓰플랫 백엔드 개발자 (6년 이상),"Product, Team, KotlinJava, Spring, Boot, RDBNoSql, ORM, AWS, Cloud, kubernetes"
모인(MOIN),보안 분석 엔지니어(Security Analyst Engineer),"log, Event, SIEM, Splunk, ELK, Kafka, IPS, DDOS, WAF, ISO2, SOC2, ISMSP, K8S, Public, Cloud"
비상교육,DevOps 인프라엔지니어,"DevOps, Skill, Cloud, Java, Spring, Boot, AWS, CICD, IMS, TDD, AI"
쏘카(SOCAR),Android Developer,"Android, +, Kotlin"
이글루코퍼레이션,웹어플리케이션 백엔드 개발(2년이상),"AI, Java, Spring, Boot, RESTful, API, MySQLMariaDB, DBMS, Linux, Data, JPA, ORM, Elasticsearch, Apache, Kafka"
엘박스,QA Manager,"QA, ISTQB, CSTS"
피트크루,AI 프로덕트 엔지니어,"Pillo, Product, Developer, AI, Interaction, Checker, Prescription, OCR, Optional, ML, RESTful, API, AWS, GCP, Azure, agent, HIPAA, GDPR"
엘박스,Machine Learning Engineer(LLM Application),"AI, LLMLarge, Language, Model, RAG, LLM, Powered, Autonomous, Agents, EndtoEnd, ML, AWS, API, CICD, PyTorch, Tensorflow, Online, Learning, k8s, Airflow, Information, Retrieval, Recommendation"
프라이빗테크놀로지,안드로이드 개발,"JavaKotlin, NDK, MVVM, Git, Figma, Jira, VPN"
엘박스,Frontend Engineer,"Angular, Nextjs, MonoRepo, React, OKR, TypeScript, Tailwindcss, Vitest, Playwright, Storybook, Npm, Yarn, Github, Actions, Reactjs, Typescript, Git, TDD, E2E"
