company,position,skill
불마켓랩스(BullMarketLabsCo.Ltd.),Front-End Engineer,"JavaScript, TypeScript, Vuejs, React, Flutter, Nextjs, Reactjs, Boilerplate, GitHub, Actions"
씨드앤,프론트엔드 리드 개발자(6~8년),"HTML, CSS, JavaScript, TypeScript, React, Native, Redux"
페이타랩,Windows개발자 (경력 6~10년↓),"WPF, C#, Visual, Studio, C++, NET, Git, Slack, Windows"
유진로봇,SAS사업부 글로벌프로젝트 PM채용,"Google, Analytics, SQL, Microsoft, Excel"
네비웍스,윈도우 응용 프로그래머(C++),"C, C++, C#, TCPIP, GUI, Mfc, Linux"
유디아이디,쇼핑몰서비스 PHP 개발자 10년↑ 모집,"PHP, MySQL, MongoDB, Laravel, GitLab, JavaScript, jQuery"
코닉글로리,정보보호 인증 담당 모집,"Linux, Network"
씨드앤,백엔드 개발자(5~7년),"Java, JavaScript, Kafka, AWS, AZURE, Kubernetes, TypeScript, Docker, Jest, Mocha"
제논,[인공지능솔루션] ML Engineer,"Docker, PyTorch, Kubernetes"
바이스벌사,AI 엔지니어(이미지 생성 AI 서비스),"PyTorch, TensorFlow, AWS, GCP, AI, MachineLearning, Flux"
엑셈,데이터 사이언티스트(5년 이상),"MachineLearning, DeepLearning, BigData, Python, R, SQL, Tableau"
아이스크림아트,AI서비스개발자(경력7~9년),"Nodejs, MySQL, PostgreSQL, REST, API, Prisma, Python, AWS, React, AI"
마카롱팩토리,iOS 개발 (5년 이상),"iOS, Xcode, Flutter, Swift, Rxswift"
알로카도스,블록체인 엔지니어 채용,"Blockchain, Solidity, Rust, Python, JavaScript"
씨드앤,백엔드 개발자(8~10년),"Java, JavaScript, Kafka, AWS, AZURE, Kubernetes, TypeScript, Docker, Jest, Mocha"
콘센트릭스서비스코리아,[Catalyst]웹퍼블리셔(장애인 특별전형),"Python, Java, React, Nodejs, HTML, CSS, jQuery, JavaScript"
다넥트,에듀테크 유니티 클라언트 개발자,"Unity, C#"
싸이터,DevOps 엔지니어 채용 (4년 이상),"Kubernetes, Kafka, Redis, Elasticsearch, MSA, ISMS, Java, AWS"
디카르고,블록체인 스마트컨트랙트 주니어개발자,"Nodejs, TypeScript, Go, rollup, Blockchain"
퍼퓸그라피,프론트엔드 개발자 (경력 6년~9년),"React, Nodejs, HTML, CSS, JavaScript, jQuery, TypeScript, PHP, Shopify, Figma"
휴머스온,Data Engineer,"Hadoop, Amazon, Elasticsearch, Service, Spark, Hive, Apache, Impala, Kafka, Redis, ELK, Kubernetes, Kubeflow, MachineLearning"
네일톡톡,앱 리드 개발자 채용,"Flutter, Dart, iOS, Android, OS"
제논,[인공지능솔루션] Frontend 개발자,"React, CSS, HTML, TypeScript, Docker, NestJS"
뉴빌리티,Software Engineer (Robotics & IoT),"C++, C, Go"
덴티움,덴탈 유닛체어 HW 개발,"HW, FW, Orcad, Pads"
칩스앤미디어,FW 엔지니어 (경력),"C++, C, HW, FW"
제논,[인공지능솔루션] AI Engineer,"PyTorch, TensorFlow, Python, Kubernetes"
리브스메드,SW Engineer:어플리케이션,"SW, C, C++, Qt, GUI, Embedded, Linux"
시어스랩,Flutter 앱개발자 (3~5년),"Flutter, Dart, REST, API, WebSocket, OpenGL, OpenCV, Firebase, Supabase"
벳플럭스,React 프론트엔드 개발자,"Nextjs, WebSocket, Redux, React"
시어스랩,프론트엔드 (3년 이상),"WebSocket, GraphQL, React, Vuejs, Sentry, HTML, CSS, Redux, TypeScript, iOS"
모빌린트,Deep Learning Optimization Engineer,"Python, PyTorch, TensorFlow, DeepLearning, C, C++"
엑심베이,오프라인 결제 개발자(6~8년),"Java, JavaScript, Spring, Framework, Boot, JSP, Linux, C#"
인터콘시스템스,임베디드 S/W 엔지니어 모집 [신입],"MCU, RTOS, Embedded, Linux, C, C++, ARM, SW"
빗썸코리아,블록체인 서비스 개발 (주니어),"Blockchain, Java, Spring, MySQL, Kafka, Redis, AWS"
셀디코리아,[셀디] 수출 솔루션 백엔드 개발자 모집,"Java, MySQL, SQL, Docker, Kubernetes, Redis, Kafka"
스펙터,Frontend Engineer,"TypeScript, Nextjs, Zustand, React, Hook, Form, Query, TailwindCSS, SCSS, Emotion, pnpm"
제이티,제어개발 신입 채용,"C++, C#"
피엠인터내셔널코리아,이머커스/백오피스 시스템개발(11~15년),"SQL, NoSql, MSA, AWS, Azure, DevOps"
커넥트웨이브,[다나와개발본부] Backend Engineer,"Python, Django, Flask, FastAPI, Java, Kotlin, Spring, Git, NoSql, Kafka"
모빌린트,Deep Learning Research Engineer,"Python, PyTorch, TensorFlow, DeepLearning, C, C++"
세나테크놀로지,딥러닝 개발자 채용,"Segment, TensorFlow, PyTorch, Python, C++, DeepLearning"
바이트사이즈,인공지능 SW개발 (8~10),"Python, NLP, Git, Airflow, Java, Microsoft, Teams"
벳플럭스,Django 백엔드 개발자,"Django, REST, framework, Celery, WebSocket"
미리비트,빅데이터 엔지니어(5년이상),"Hadoop, Kubernetes, BigData, Spark, Apache, Flink"
컴레이저,어플리케이션 S/W 개발자 (경력2~5년),"Embedded, C, C++, Linux, Qt, SW, Mfc, Network"
미리비트,K8S 구축 백엔드 빅데이터 개발자,"KS, Airflow, Kubeflow, Hadoop, Java, Python, Spark, Grafana, Kubernetes, Docker"
에이엠시지,의료SW그룹 알고리즘 경력직 채용,"Python, MachineLearning, DeepLearning"
